date,high_temp,low_temp,precipitation (in inches)
01/01/1988,NaN,NaN,0
01/02/1988,NaN,NaN,0
01/03/1988,NaN,NaN,0
01/04/1988,NaN,NaN,0
01/05/1988,NaN,NaN,0
01/06/1988,NaN,NaN,0
01/07/1988,NaN,NaN,0
01/08/1988,NaN,NaN,0
01/09/1988,NaN,NaN,0
01/10/1988,NaN,NaN,0
01/11/1988,NaN,NaN,0
01/12/1988,NaN,NaN,0
01/13/1988,NaN,NaN,0
01/14/1988,NaN,NaN,0
01/15/1988,NaN,NaN,0
01/16/1988,NaN,NaN,0
01/17/1988,NaN,NaN,0
01/18/1988,NaN,NaN,0
01/19/1988,NaN,NaN,0
01/20/1988,NaN,NaN,0
01/21/1988,NaN,NaN,0
01/22/1988,NaN,NaN,0
01/23/1988,NaN,NaN,0
01/24/1988,NaN,NaN,0
01/25/1988,NaN,NaN,0
01/26/1988,NaN,NaN,0
01/27/1988,NaN,NaN,0
01/28/1988,NaN,NaN,0
01/29/1988,55,NaN,0
01/30/1988,58,NaN,0
01/31/1988,54,NaN,0
02/01/1988,14,NaN,0.01
02/02/1988,20,NaN,0
02/03/1988,25,NaN,0.3
02/04/1988,10,NaN,0
02/05/1988,5,NaN,0
02/06/1988,12,NaN,0
02/07/1988,15,NaN,0
02/08/1988,28,NaN,0.05
02/09/1988,25,NaN,0
02/10/1988,8,NaN,0.6
02/11/1988,7,NaN,0
02/12/1988,15,NaN,0
02/13/1988,25,NaN,0
02/14/1988,20,NaN,0.05
02/15/1988,21,NaN,0
02/16/1988,41,NaN,0
02/17/1988,44,NaN,0
02/18/1988,46,NaN,0
02/19/1988,40,NaN,0
02/20/1988,33,NaN,0
02/21/1988,40,NaN,0
02/22/1988,45,NaN,0
02/23/1988,32,NaN,0
02/24/1988,34,NaN,0
02/25/1988,35,NaN,0
02/26/1988,63,NaN,0
02/27/1988,50,NaN,0
02/28/1988,52,NaN,0
02/29/1988,55,NaN,0
03/01/1988,58,NaN,0
03/02/1988,39,NaN,0
03/03/1988,36,NaN,0
03/04/1988,43,NaN,0
03/05/1988,49,NaN,0
03/06/1988,56,NaN,0
03/07/1988,59,NaN,0
03/08/1988,55,NaN,0
03/09/1988,50,NaN,0
03/10/1988,58,NaN,0
03/11/1988,68,NaN,0
03/12/1988,36,NaN,0.01
03/13/1988,24,NaN,0
03/14/1988,29,NaN,0
03/15/1988,32,NaN,0
03/16/1988,37,NaN,0
03/17/1988,40,NaN,0
03/18/1988,43,NaN,0
03/19/1988,52,NaN,0
03/20/1988,56,NaN,0
03/21/1988,51,NaN,0
03/22/1988,84,NaN,0
03/23/1988,65,NaN,0
03/24/1988,70,NaN,0.6
03/25/1988,64,NaN,0
03/26/1988,45,NaN,0
03/27/1988,64,NaN,0
03/28/1988,72,NaN,0.3
03/29/1988,48,NaN,0
03/30/1988,64,NaN,0
03/31/1988,55,NaN,0
04/01/1988,52,NaN,0.05
04/02/1988,62,NaN,0
04/03/1988,58,NaN,0
04/04/1988,80,NaN,0
04/05/1988,78,NaN,0.01
04/06/1988,61,NaN,0
04/07/1988,72,NaN,0
04/08/1988,82,NaN,0
04/09/1988,64,NaN,0
04/10/1988,52,NaN,0
04/11/1988,64,NaN,0
04/12/1988,70,NaN,0
04/13/1988,78,NaN,0
04/14/1988,53,NaN,0
04/15/1988,60,NaN,0
04/16/1988,68,NaN,0
04/17/1988,74,NaN,0
04/18/1988,54,NaN,0
04/19/1988,58,NaN,0
04/20/1988,64,NaN,0
04/21/1988,54,NaN,0
04/22/1988,52,NaN,0
04/23/1988,47,NaN,0
04/24/1988,63,NaN,0
04/25/1988,72,NaN,0.01
04/26/1988,52,NaN,0.01
04/27/1988,56,NaN,0
04/28/1988,68,NaN,0
04/29/1988,75,NaN,0
04/30/1988,78,NaN,0
05/01/1988,80,NaN,0
05/02/1988,79,NaN,0
05/03/1988,72,NaN,0
05/04/1988,74,NaN,0
05/05/1988,83,NaN,0
05/06/1988,82,NaN,0
05/07/1988,80,NaN,0.2
05/08/1988,70,NaN,0.8
